paper,query,label,expect,page,expect_rows,expect_cols,expect_matched_on,expect_confidence,expect_stitch,basis,why
pbc_26825,response,TABLE 1,?,3,,,,,,整页有该词但分不清在表内还是正文,
pbc_26825,PDX;xenograft,TABLE 1,miss,3,,,,,,整页文字层无该词 ⇒ 表内一定没有,
pbc_26825,response,Table 2,miss,4,,,,,,整页文字层无该词 ⇒ 表内一定没有,
pbc_26825,PDX;xenograft,Table 2,miss,4,,,,,,整页文字层无该词 ⇒ 表内一定没有,
pbc_26825,response,TABLE 2,miss,4,,,,,,整页文字层无该词 ⇒ 表内一定没有,
pbc_26825,PDX;xenograft,TABLE 2,miss,4,,,,,,整页文字层无该词 ⇒ 表内一定没有,
pbc_26825,response,TABLE 3,?,5,,,,,caption_continued,整页有该词但分不清在表内还是正文；p6 caption 为 `TABLE 3 (Continued)`，判据一该命中,
pbc_26825,PDX;xenograft,TABLE 3,miss,5,,,,,caption_continued,整页文字层无该词 ⇒ 表内一定没有；p6 caption 为 `TABLE 3 (Continued)`，判据一该命中,
pbc_26825,response,TABLE 3,?,6,,,,,,整页有该词但分不清在表内还是正文,
pbc_26825,PDX;xenograft,TABLE 3,?,6,,,,,,整页有该词但分不清在表内还是正文,
pbc_26825,response,TABLE 4,?,8,,,,,,整页有该词但分不清在表内还是正文,
pbc_26825,PDX;xenograft,TABLE 4,hit,8,,,cell,,,表头串「xenograft line」,
pbc_22188,response,TABLE I,hit,2,45,12,cell,high,,人读 p2 渲染图逐行数：45 数据行 × 12 列；表头 Xenograft line…Median group response…Response activity,
pbc_22188,PDX;xenograft,TABLE I,hit,2,45,12,cell,high,,人读 p2 渲染图逐行数：45 数据行 × 12 列；表头 Xenograft line…Median group response…Response activity,
pbc_22576,response,TABLE I,?,2,,,,,,整页有该词但分不清在表内还是正文,
pbc_22576,PDX;xenograft,TABLE I,?,2,,,,,,整页有该词但分不清在表内还是正文,
pbc_22576,response,TABLE II,?,4,,,,,,整页有该词但分不清在表内还是正文,
pbc_22576,PDX;xenograft,TABLE II,?,4,,,,,,整页有该词但分不清在表内还是正文,
pbc_22741,response,TABLE I,?,3,,,,,,整页有该词但分不清在表内还是正文,
pbc_22741,PDX;xenograft,TABLE I,?,3,,,,,,整页有该词但分不清在表内还是正文,
pbc_22741,response,TABLE II,hit,4,,,cell,,,表头串「Response activity」,
pbc_22741,PDX;xenograft,TABLE II,hit,4,,,cell,,,表头串「Xenograft line」,
